Date,Prefecture,Newly confirmed cases,1
2020/01/16,ALL,1,1
2020/01/16,Hokkaido,0,1
2020/01/16,Aomori,0,1
2020/01/16,Iwate,0,1
2020/01/16,Miyagi,0,1
2020/01/16,Akita,0,1
2020/01/16,Yamagata,0,1
2020/01/16,Fukushima,0,1
2020/01/16,Ibaraki,0,1
2020/01/16,Tochigi,0,1
2020/01/16,Gunma,0,1
2020/01/16,Saitama,0,1
2020/01/16,Chiba,0,1
2020/01/16,Tokyo,0,1
2020/01/16,Kanagawa,1,1
2020/01/16,Niigata,0,1
2020/01/16,Toyama,0,1
2020/01/16,Ishikawa,0,1
2020/01/16,Fukui,0,1
2020/01/16,Yamanashi,0,1
2020/01/16,Nagano,0,1
2020/01/16,Gifu,0,1
2020/01/16,Shizuoka,0,1
2020/01/16,Aichi,0,1
2020/01/16,Mie,0,1
2020/01/16,Shiga,0,1
2020/01/16,Kyoto,0,1
2020/01/16,Osaka,0,1
2020/01/16,Hyogo,0,1
2020/01/16,Nara,0,1
2020/01/16,Wakayama,0,1
2020/01/16,Tottori,0,1
2020/01/16,Shimane,0,1
2020/01/16,Okayama,0,1
2020/01/16,Hiroshima,0,1
2020/01/16,Yamaguchi,0,1
2020/01/16,Tokushima,0,1
2020/01/16,Kagawa,0,1
2020/01/16,Ehime,0,1
2020/01/16,Kochi,0,1
2020/01/16,Fukuoka,0,1
2020/01/16,Saga,0,1
2020/01/16,Nagasaki,0,1
2020/01/16,Kumamoto,0,1
2020/01/16,Oita,0,1
2020/01/16,Miyazaki,0,1
2020/01/16,Kagoshima,0,1
2020/01/16,Okinawa,0,1
2020/01/17,ALL,0,1
2020/01/17,Hokkaido,0,1
2020/01/17,Aomori,0,1
2020/01/17,Iwate,0,1
2020/01/17,Miyagi,0,1
2020/01/17,Akita,0,1
2020/01/17,Yamagata,0,1
2020/01/17,Fukushima,0,1
2020/01/17,Ibaraki,0,1
2020/01/17,Tochigi,0,1
2020/01/17,Gunma,0,1
2020/01/17,Saitama,0,1
2020/01/17,Chiba,0,1
2020/01/17,Tokyo,0,1
2020/01/17,Kanagawa,0,1
2020/01/17,Niigata,0,1
2020/01/17,Toyama,0,1
2020/01/17,Ishikawa,0,1
2020/01/17,Fukui,0,1
2020/01/17,Yamanashi,0,1
2020/01/17,Nagano,0,1
2020/01/17,Gifu,0,1
2020/01/17,Shizuoka,0,1
2020/01/17,Aichi,0,1
2020/01/17,Mie,0,1
2020/01/17,Shiga,0,1
2020/01/17,Kyoto,0,1
2020/01/17,Osaka,0,1
2020/01/17,Hyogo,0,1
2020/01/17,Nara,0,1
2020/01/17,Wakayama,0,1
2020/01/17,Tottori,0,1
2020/01/17,Shimane,0,1
2020/01/17,Okayama,0,1
2020/01/17,Hiroshima,0,1
2020/01/17,Yamaguchi,0,1
2020/01/17,Tokushima,0,1
2020/01/17,Kagawa,0,1
2020/01/17,Ehime,0,1
2020/01/17,Kochi,0,1
2020/01/17,Fukuoka,0,1
2020/01/17,Saga,0,1
2020/01/17,Nagasaki,0,1
2020/01/17,Kumamoto,0,1
2020/01/17,Oita,0,1
2020/01/17,Miyazaki,0,1
2020/01/17,Kagoshima,0,1
2020/01/17,Okinawa,0,1
2020/01/18,ALL,0,1
2020/01/18,Hokkaido,0,1
2020/01/18,Aomori,0,1
2020/01/18,Iwate,0,1
2020/01/18,Miyagi,0,1
2020/01/18,Akita,0,1
2020/01/18,Yamagata,0,1
2020/01/18,Fukushima,0,1
2020/01/18,Ibaraki,0,1
2020/01/18,Tochigi,0,1
2020/01/18,Gunma,0,1
2020/01/18,Saitama,0,1
2020/01/18,Chiba,0,1
2020/01/18,Tokyo,0,1
2020/01/18,Kanagawa,0,1
2020/01/18,Niigata,0,1
2020/01/18,Toyama,0,1
2020/01/18,Ishikawa,0,1
2020/01/18,Fukui,0,1
2020/01/18,Yamanashi,0,1
2020/01/18,Nagano,0,1
2020/01/18,Gifu,0,1
2020/01/18,Shizuoka,0,1
2020/01/18,Aichi,0,1
2020/01/18,Mie,0,1
2020/01/18,Shiga,0,1
2020/01/18,Kyoto,0,1
2020/01/18,Osaka,0,1
2020/01/18,Hyogo,0,1
2020/01/18,Nara,0,1
2020/01/18,Wakayama,0,1
2020/01/18,Tottori,0,1
2020/01/18,Shimane,0,1
2020/01/18,Okayama,0,1
2020/01/18,Hiroshima,0,1
2020/01/18,Yamaguchi,0,1
2020/01/18,Tokushima,0,1
2020/01/18,Kagawa,0,1
2020/01/18,Ehime,0,1
2020/01/18,Kochi,0,1
2020/01/18,Fukuoka,0,1
2020/01/18,Saga,0,1
2020/01/18,Nagasaki,0,1
2020/01/18,Kumamoto,0,1
2020/01/18,Oita,0,1
2020/01/18,Miyazaki,0,1
2020/01/18,Kagoshima,0,1
2020/01/18,Okinawa,0,1
2020/01/19,ALL,0,1
2020/01/19,Hokkaido,0,1
